,jd,lon,lat,sat,cyc,dir,azif,azim,azia,incf,incm,inca,sigf,sigm,siga,swath,kpf,kpm,kpa,mdis,num
2009-01-01 16:05:08+00:00,2454833.1702320836,0.0,0.0,3,0,D,53.74856185913086,99.5152359008789,145.16241455078125,54.9488410949707,43.682003021240234,54.96329116821289,-17.977436065673828,-16.23215675354004,-17.8769588470459,1,0.03111082687973976,0.03305044770240784,0.03536766394972801,5.528368949890137,7
2009-01-03 03:04:58+00:00,2454834.628457107,0.0,0.0,3,0,A,115.15594482421875,70.24906158447266,25.35588264465332,59.20675277709961,48.00334930419922,59.13652420043945,-18.169721603393555,-16.384828567504883,-17.961462020874023,0,0.030368534848093987,0.027856705710291862,0.0382046215236187,3.6981334686279297,7
2009-01-03 17:03:47+00:00,2454835.2109622345,0.0,0.0,3,0,D,-26.644794464111328,-71.45479583740234,-116.4539794921875,51.14400863647461,40.253902435302734,51.26144790649414,-16.38188934326172,-14.991850852966309,-16.783193588256836,0,0.0350489616394043,0.0303442794829607,0.03596167266368866,5.994228363037109,6
2009-01-05 04:03:32+00:00,2454836.6691217134,0.0,0.0,3,0,A,-146.14321899414062,-100.74982452392578,-55.35325241088867,45.147090911865234,34.63138198852539,45.057090759277344,-16.848684310913086,-15.065739631652832,-17.048887252807617,1,0.042688678950071335,0.03996069356799126,0.03273535892367363,7.724270820617676,4
2009-01-06 16:01:42+00:00,2454838.1678515514,0.0,0.0,3,0,D,53.07844161987305,98.99715423583984,144.7802276611328,58.470863342285156,47.097782135009766,58.48086166381836,-18.759510040283203,-17.019750595092773,-18.752531051635742,1,0.031133294105529785,0.030333010479807854,0.04089181125164032,6.932041645050049,5
2009-01-07 03:22:09+00:00,2454838.640388068,0.0,0.0,3,0,A,117.92229461669922,73.0161361694336,27.962615966796875,38.7027702331543,29.095611572265625,38.67921829223633,-15.79602336883545,-13.46928882598877,-15.938023567199707,0,0.04056171327829361,0.045632053166627884,0.03010721504688263,4.726402282714844,7
2009-01-08 03:01:34+00:00,2454839.6260972805,0.0,0.0,3,0,A,114.62617492675781,69.6922378540039,24.79730987548828,62.07971954345703,50.90672302246094,62.00785827636719,-18.93868064880371,-16.941787719726562,-18.58944320678711,0,0.03813129663467407,0.034591399133205414,0.03185670077800751,3.6858367919921875,7
2009-01-08 17:00:21+00:00,2454840.2085802667,0.0,0.0,3,0,D,-27.156946182250977,-71.98152160644531,-117.0015640258789,46.97586441040039,36.38581466674805,47.07046890258789,-15.975379943847656,-14.499000549316406,-16.40406036376953,0,0.03520774468779564,0.039373841136693954,0.036336448043584824,5.26531982421875,7
2009-01-09 04:20:54+00:00,2454840.6811818522,0.0,0.0,3,0,A,-144.2371826171875,-98.16902160644531,-52.01087188720703,63.628318786621094,52.206668853759766,63.51870346069336,-18.891441345214844,-17.446165084838867,-18.82036590576172,1,0.027059871703386307,0.03621867671608925,0.03491073474287987,6.119847774505615,5
2009-01-10 04:00:08+00:00,2454841.6667611003,0.0,0.0,3,0,A,-146.5335693359375,-101.2703628540039,-56.01156234741211,39.970733642578125,30.143484115600586,39.879539489746094,-15.342154502868652,-13.162662506103516,-15.414671897888184,1,0.032551124691963196,0.046423520892858505,0.03377470746636391,7.432448387145996,4
2009-01-11 15:58:14+00:00,2454843.1654483452,0.0,0.0,3,0,D,52.39763259887695,98.48189544677734,144.40615844726562,61.607730865478516,50.21773147583008,61.617733001708984,-18.93010902404785,-17.292089462280273,-18.903614044189453,1,0.03949121758341789,0.03508513420820236,0.036252524703741074,7.969353199005127,4
2009-01-12 03:18:45+00:00,2454843.6380291902,0.0,0.0,3,0,A,117.35302734375,72.46875762939453,27.472091674804688,43.792972564697266,33.484825134277344,43.772308349609375,-16.33390235900879,-13.807938575744629,-15.702169418334961,0,0.03284444659948349,0.038554105907678604,0.04086213931441307,0.9569222331047058,7
2009-01-13 16:56:57+00:00,2454845.206225093,0.0,0.0,3,0,D,-27.653961181640625,-72.50067901611328,-117.55802917480469,42.33238220214844,32.249820709228516,42.4061393737793,-16.058744430541992,-13.98650074005127,-16.33262825012207,0,0.036576852202415466,0.0458604171872139,0.028367603197693825,2.2799301147460938,7
2009-01-14 04:17:26+00:00,2454845.678784561,0.0,0.0,3,0,A,-144.60169982910156,-98.67896270751953,-52.68753433227539,60.73134994506836,49.28596115112305,60.62596130371094,-18.591957092285156,-16.604690551757812,-18.201496124267578,1,0.03435324504971504,0.03279822692275047,0.033396653831005096,5.455512046813965,7
