,jd,lon,lat,sat,cyc,dir,azif,azim,azia,incf,incm,inca,sigf,sigm,siga,swath,kpf,kpm,kpa,mdis,num
2007-01-20 04:16:05+00:00,2454120.6778463316,0.0,0.0,3,0,A,-144.64706420898438,-98.73474884033203,-52.757450103759766,60.492862701416016,49.05179977416992,60.39374923706055,-19.047758102416992,-16.798219680786133,-18.697614669799805,1,0.03457833081483841,0.03173310309648514,0.03345746919512749,6.187648773193359,6
2007-01-21 16:14:15+00:00,2454122.176566285,0.0,0.0,3,0,D,55.68925476074219,101.04109191894531,146.31948852539062,42.07795715332031,31.991743087768555,42.07795715332031,-15.6484956741333,-14.063446998596191,-16.30780029296875,1,0.029953500255942345,0.037930816411972046,0.030382076278328896,4.333982944488525,7
2007-01-23 03:14:02+00:00,2454123.6347469566,0.0,0.0,3,0,A,116.72499084472656,71.84827423095703,26.897869110107422,48.691829681396484,37.89781951904297,48.67182922363281,-17.441987991333008,-14.780799865722656,-16.556507110595703,0,0.03402334079146385,0.03141555190086365,0.03744931519031525,1.5685285329818726,7
2007-01-23 17:12:50+00:00,2454124.217256077,0.0,0.0,3,0,D,-25.07174301147461,-69.88003540039062,-114.88684844970703,60.843563079833984,49.77496337890625,60.99496078491211,-18.654617309570312,-17.022884368896484,-18.890613555908203,0,0.03597047179937363,0.03010069578886032,0.025289542973041534,6.771667957305908,5
2007-01-25 04:12:43+00:00,2454125.6755025354,0.0,0.0,3,0,A,-145.02369689941406,-99.25494384765625,-53.43426513671875,57.2213020324707,45.812828063964844,57.10695266723633,-16.723102569580078,-14.309772491455078,-16.435697555541992,1,0.025741741061210632,0.039442963898181915,0.02443373203277588,5.946928024291992,6
2007-01-26 16:10:52+00:00,2454127.1742219334,0.0,0.0,3,0,D,55.03384780883789,100.52191925048828,145.92642211914062,47.017173767089844,36.324859619140625,47.02247619628906,-13.78724479675293,-11.818317413330078,-13.67405891418457,1,0.033533886075019836,0.03897072374820709,0.03884068876504898,6.035931587219238,6
2007-01-28 03:10:39+00:00,2454128.6324030794,0.0,0.0,3,0,A,116.18250274658203,71.30250549316406,26.382116317749023,52.62849807739258,41.576602935791016,52.579715728759766,-16.7327938079834,-14.467253684997559,-16.486295700073242,0,0.035144973546266556,0.034503474831581116,0.02997991070151329,0.8481329083442688,7
2007-01-28 17:09:28+00:00,2454129.214914642,0.0,0.0,3,0,D,-25.614200592041016,-70.4193344116211,-115.41229248046875,57.87208938598633,46.77762222290039,58.015037536621094,-16.491628646850586,-14.041446685791016,-15.551331520080566,0,0.031927987933158875,0.03373277559876442,0.030664481222629547,5.065564155578613,7
2007-01-30 04:09:19+00:00,2454130.673136968,0.0,0.0,3,0,A,-145.4058074951172,-99.77033996582031,-54.098907470703125,53.554534912109375,42.295166015625,53.451255798339844,-16.72870635986328,-14.556910514831543,-16.914880752563477,1,0.032292403280735016,0.02800905331969261,0.02483280375599861,5.177185535430908,7
2007-01-31 16:07:28+00:00,2454132.17185595,0.0,0.0,3,0,D,54.370758056640625,100.0050277709961,145.53184509277344,51.40254592895508,40.33003234863281,51.41374206542969,-17.621784210205078,-15.077717781066895,-17.635122299194336,1,0.03171001002192497,0.03695472329854965,0.032621830701828,4.549025058746338,7
2007-02-02 03:07:17+00:00,2454133.6300592828,0.0,0.0,3,0,A,115.63859558105469,70.74906158447266,25.847835540771484,56.20932388305664,45.041717529296875,56.15957260131836,-17.9930477142334,-15.726692199707031,-17.889808654785156,0,0.030956095084547997,0.032379698008298874,0.036712583154439926,3.409451961517334,7
2007-02-02 17:06:06+00:00,2454134.212570313,0.0,0.0,3,0,D,-26.154325485229492,-70.95433044433594,-115.94602966308594,54.54562759399414,43.50265884399414,54.66618728637695,-17.909963607788086,-15.752684593200684,-17.666933059692383,0,0.03133586794137955,0.029523815959692,0.029645610600709915,4.642795562744141,7
2007-02-04 04:05:54+00:00,2454135.6707715746,0.0,0.0,3,0,A,-145.79281616210938,-100.28653717041016,-54.76144027709961,49.42636489868164,38.458126068115234,49.33636474609375,-17.20094108581543,-14.669584274291992,-17.069053649902344,1,0.031691547483205795,0.03376365825533867,0.0335531011223793,4.880342960357666,7
2007-02-05 16:04:03+00:00,2454137.1694900235,0.0,0.0,3,0,D,53.704402923583984,99.48345184326172,145.1454620361328,55.28461837768555,43.99758529663086,55.2933349609375,-16.322778701782227,-13.60882568359375,-16.08426284790039,1,0.030748331919312477,0.03308577835559845,0.03346872329711914,4.8794074058532715,7
2007-02-07 03:03:54+00:00,2454138.6277180444,0.0,0.0,3,0,A,115.1053466796875,70.1972427368164,25.302621841430664,59.40350341796875,48.19844055175781,59.34337615966797,-15.73756217956543,-13.077435493469238,-15.092199325561523,0,0.03260278329253197,0.03400428220629692,0.03924926742911339,6.766014099121094,6
2007-02-07 17:02:41+00:00,2454139.2102043293,0.0,0.0,3,0,D,-26.683895111083984,-71.493896484375,-116.49055480957031,50.796234130859375,39.916175842285156,50.90660858154297,-16.465320587158203,-14.033159255981445,-16.409130096435547,0,0.03386453911662102,0.029970884323120117,0.028845936059951782,7.056556224822998,6
2007-02-09 04:02:30+00:00,2454140.6684061927,0.0,0.0,3,0,A,-146.18121337890625,-100.80015563964844,-55.414485931396484,44.791114807128906,34.30613327026367,44.7017936706543,-15.146170616149902,-12.796197891235352,-15.148438453674316,1,0.03469712287187576,0.037712957710027695,0.030052734538912773,5.000248432159424,7
2007-02-10 16:00:37+00:00,2454142.16710507,0.0,0.0,3,0,D,53.0353889465332,98.96622467041016,144.76380920410156,58.75617599487305,47.38292694091797,58.76617431640625,-18.32400131225586,-16.3939208984375,-18.537269592285156,1,0.028056558221578598,0.02900681458413601,0.033465977758169174,4.119575023651123,7
